#  /home/moore/pycode/Analysis/lammpsgr.py 0.5m16kw.6.lammpstrj 0.5mgr6all.dat -max 30 -nbins 600
#  nbins=600, min=0, max=30.0, dr=0.05008347245409015
#  Types:4 1:16000 2:32000 3:144 4:144
#  r 1-1 1-2 1-3 1-4 2-2 2-3 2-4 3-3 3-4 4-4 
#  <vol> 518122.324640932 sqrt(<(x-<x>)^2>) = 2292.667503389319 nconfigs: 200
9.61603 0.995629 0.995726 0.991354 1.00094 0.99484 0.996841 0.999793 0.887876 1.15299 0.944252
9.66611 0.996409 0.995756 0.991943 0.99567 0.995402 0.994898 1.00196 0.893119 1.10357 0.975856
9.71619 0.99632 0.995804 0.994327 0.988634 0.995291 0.997329 0.999281 0.904153 1.14538 0.898505
9.76628 0.9961 0.996245 0.998283 0.994391 0.995767 0.993752 0.999558 0.945315 1.06212 0.960203
9.81636 0.997343 0.996205 0.992417 0.996924 0.995763 0.995374 0.999078 0.937314 1.14511 0.957827
9.86644 0.996749 0.995903 0.988246 1.00116 0.995955 0.995476 0.998468 0.867127 1.09709 0.985715
9.91653 0.996117 0.996388 0.99229 1.00023 0.996174 0.996297 0.996342 0.894467 1.1139 0.943342
9.96661 0.996299 0.996297 0.992057 0.997104 0.996345 0.995195 0.996377 0.934394 1.09793 0.956441
10.0167 0.996073 0.996198 0.994597 0.999181 0.996288 0.994928 1.00163 0.933321 1.05454 0.952413
10.0668 0.996657 0.996025 0.995323 0.99559 0.996455 0.999237 0.997029 0.947631 1.06914 0.958179
10.1169 0.99604 0.996074 0.988299 0.99976 0.996321 0.997559 1.00148 0.970612 1.11083 0.930523
10.1669 0.995677 0.996021 0.992816 0.996756 0.996241 0.999838 0.992341 0.940771 1.06282 0.923772
10.217 0.995008 0.9959 0.994694 0.993182 0.996239 0.998645 0.99671 0.902533 1.0521 0.9257
10.2671 0.995178 0.995875 0.99297 1.0006 0.996485 0.997752 0.997876 0.951335 1.09589 0.977122
10.3172 0.995315 0.995991 0.993287 0.998458 0.996164 1.00056 0.997569 0.95918 1.07928 0.941688
10.3673 0.995267 0.996065 0.99383 0.997661 0.996368 0.997697 0.996038 0.974941 1.07646 0.939466
10.4174 0.994751 0.99536 0.99717 0.997847 0.996089 0.994859 0.998435 0.907629 1.03787 1.00965
10.4674 0.99507 0.995741 0.994056 0.999502 0.996291 1.00043 0.998854 0.947247 1.05697 1.00781
10.5175 0.995134 0.995444 0.990014 0.994631 0.996505 0.998071 0.999477 0.839857 1.02061 0.98713
